Login time = 4/3/2020 8:09:58 PM, userName = test
Login time = 4/9/2020 2:41:29 PM, userName = test
Login time = 4/9/2020 2:43:24 PM, userName = test
Login time = 4/9/2020 2:44:12 PM, userName = test
Login time = 4/9/2020 2:46:48 PM, userName = test
Login time = 4/9/2020 2:47:57 PM, userName = test
Login time = 4/9/2020 2:48:56 PM, userName = test
Login time = 4/9/2020 2:50:07 PM, userName = test
Login time = 4/9/2020 2:50:44 PM, userName = test
Login time = 4/9/2020 2:50:59 PM, userName = test
Login time = 4/9/2020 2:51:56 PM, userName = test
Login time = 4/9/2020 2:53:08 PM, userName = test
Login time = 4/9/2020 5:51:33 PM, userName = test
Login time = 4/9/2020 5:52:18 PM, userName = test
Login time = 4/9/2020 5:57:37 PM, userName = test
Login time = 4/9/2020 6:00:14 PM, userName = test
Login time = 4/9/2020 6:00:45 PM, userName = test
Login time = 4/9/2020 6:04:18 PM, userName = test
Login time = 4/9/2020 6:04:55 PM, userName = test
Login time = 4/9/2020 6:05:41 PM, userName = test
Login time = 4/9/2020 6:06:07 PM, userName = test
Login time = 4/9/2020 6:06:23 PM, userName = test
Login time = 4/9/2020 6:21:59 PM, userName = test
Login time = 4/9/2020 6:22:40 PM, userName = test
Login time = 4/9/2020 6:25:21 PM, userName = test
Login time = 4/9/2020 6:26:43 PM, userName = test
Login time = 4/9/2020 6:28:14 PM, userName = test
Login time = 4/9/2020 6:29:05 PM, userName = test
Login time = 4/9/2020 6:31:00 PM, userName = test
Login time = 4/9/2020 7:59:39 PM, userName = test
Login time = 4/9/2020 8:04:15 PM, userName = test
Login time = 4/9/2020 8:06:50 PM, userName = test
Login time = 4/9/2020 8:25:10 PM, userName = test
Login time = 4/9/2020 8:26:53 PM, userName = test
Login time = 4/9/2020 9:26:47 PM, userName = test
Login time = 4/9/2020 9:34:56 PM, userName = test
Login time = 4/9/2020 9:44:07 PM, userName = test
Login time = 4/9/2020 9:44:54 PM, userName = test
Login time = 4/9/2020 9:49:34 PM, userName = test
Login time = 4/9/2020 9:58:52 PM, userName = test
Login time = 4/9/2020 10:01:11 PM, userName = test
Login time = 4/9/2020 10:07:17 PM, userName = test
Login time = 4/9/2020 10:07:54 PM, userName = test
Login time = 4/9/2020 10:10:14 PM, userName = test
Login time = 4/9/2020 10:11:02 PM, userName = test
Login time = 4/10/2020 8:56:50 AM, userName = test
Login time = 4/10/2020 9:12:33 AM, userName = test
Login time = 4/10/2020 9:13:40 AM, userName = test
Login time = 4/10/2020 9:24:46 AM, userName = test
Login time = 4/10/2020 9:25:07 AM, userName = test
Login time = 4/10/2020 9:27:14 AM, userName = test
Login time = 4/10/2020 9:27:54 AM, userName = test
Login time = 4/10/2020 9:35:32 AM, userName = test
Login time = 4/10/2020 9:42:20 AM, userName = test
Login time = 4/10/2020 9:50:43 AM, userName = test
Login time = 4/10/2020 9:52:16 AM, userName = test
Login time = 4/10/2020 9:57:59 AM, userName = test
Login time = 4/10/2020 9:59:03 AM, userName = test
Login time = 4/10/2020 10:00:50 AM, userName = test
Login time = 4/10/2020 10:02:26 AM, userName = test
Login time = 4/10/2020 10:07:19 AM, userName = test
Login time = 4/10/2020 10:36:28 AM, userName = test
Login time = 4/10/2020 10:39:11 AM, userName = test
Login time = 4/10/2020 10:39:41 AM, userName = test
Login time = 4/10/2020 10:43:21 AM, userName = test
Login time = 4/10/2020 10:49:12 AM, userName = test
Login time = 4/10/2020 10:54:30 AM, userName = test
Login time = 4/10/2020 10:57:47 AM, userName = test
Login time = 4/10/2020 10:59:05 AM, userName = test
Login time = 4/10/2020 11:02:19 AM, userName = test
Login time = 4/10/2020 11:08:59 AM, userName = test
Login time = 4/10/2020 11:12:13 AM, userName = test
Login time = 4/10/2020 11:24:40 AM, userName = test
Login time = 4/10/2020 11:37:58 AM, userName = test
Login time = 4/10/2020 1:53:40 PM, userName = test
Login time = 4/10/2020 2:01:10 PM, userName = test
Login time = 4/10/2020 2:03:12 PM, userName = test
Login time = 4/10/2020 2:44:07 PM, userName = test
Login time = 4/10/2020 2:45:21 PM, userName = test
Login time = 4/10/2020 2:47:01 PM, userName = test
Login time = 4/10/2020 2:48:40 PM, userName = test
Login time = 4/10/2020 2:50:00 PM, userName = test
Login time = 4/10/2020 4:30:45 PM, userName = test
Login time = 4/10/2020 4:32:27 PM, userName = test
Login time = 4/10/2020 4:39:16 PM, userName = test
Login time = 4/10/2020 4:43:58 PM, userName = test
Login time = 4/10/2020 5:03:32 PM, userName = test
Login time = 4/10/2020 5:06:06 PM, userName = test
Login time = 4/10/2020 5:09:20 PM, userName = test
Login time = 4/10/2020 6:19:57 PM, userName = test
Login time = 4/10/2020 6:30:48 PM, userName = test
Login time = 4/10/2020 6:38:50 PM, userName = test
Login time = 4/10/2020 6:51:06 PM, userName = test
Login time = 4/10/2020 9:28:53 PM, userName = test
Login time = 4/10/2020 9:40:28 PM, userName = test
Login time = 4/10/2020 10:11:55 PM, userName = test
Login time = 4/10/2020 10:16:25 PM, userName = test
Login time = 4/10/2020 10:18:47 PM, userName = test
Login time = 4/11/2020 8:03:53 AM, userName = test
Login time = 4/11/2020 8:06:47 AM, userName = test
Login time = 4/11/2020 8:09:04 AM, userName = test
Login time = 4/11/2020 8:10:23 AM, userName = test
Login time = 4/11/2020 8:11:17 AM, userName = test
Login time = 4/11/2020 8:12:19 AM, userName = test
Login time = 4/11/2020 8:40:35 AM, userName = test
Login time = 4/11/2020 8:42:11 AM, userName = test
Login time = 4/11/2020 8:42:53 AM, userName = test
Login time = 4/11/2020 8:43:30 AM, userName = test
Login time = 4/11/2020 8:44:28 AM, userName = test
Login time = 4/11/2020 8:46:02 AM, userName = test
Login time = 4/11/2020 8:48:39 AM, userName = test
Login time = 4/11/2020 8:50:36 AM, userName = test
Login time = 4/11/2020 8:51:06 AM, userName = test
Login time = 4/11/2020 8:52:31 AM, userName = test
Login time = 4/11/2020 8:53:04 AM, userName = test
Login time = 4/11/2020 8:55:22 AM, userName = test
Login time = 4/11/2020 9:00:01 AM, userName = test
Login time = 4/11/2020 9:00:43 AM, userName = test
Login time = 4/11/2020 9:02:41 AM, userName = test
Login time = 4/11/2020 9:12:21 AM, userName = test
Login time = 4/11/2020 9:13:30 AM, userName = test
Login time = 4/11/2020 9:14:04 AM, userName = test
Login time = 4/11/2020 7:09:01 PM, userName = test
Login time = 4/11/2020 7:15:10 PM, userName = test
Login time = 4/11/2020 7:36:30 PM, userName = test
Login time = 4/11/2020 7:37:12 PM, userName = test
Login time = 4/11/2020 7:53:44 PM, userName = test
Login time = 4/11/2020 7:57:11 PM, userName = test
Login time = 4/11/2020 8:00:23 PM, userName = test
Login time = 4/11/2020 8:02:38 PM, userName = test
Login time = 4/11/2020 8:04:06 PM, userName = test
Login time = 4/11/2020 9:59:41 PM, userName = test
Login time = 4/11/2020 10:01:03 PM, userName = test
Login time = 4/11/2020 10:04:44 PM, userName = test
Login time = 4/12/2020 11:01:43 AM, userName = test
Login time = 4/12/2020 11:17:23 AM, userName = test
Login time = 4/12/2020 11:20:09 AM, userName = test
Login time = 4/12/2020 11:20:53 AM, userName = test
Login time = 4/12/2020 11:21:27 AM, userName = test
Login time = 4/12/2020 11:27:25 AM, userName = test
Login time = 4/12/2020 11:44:40 AM, userName = test
Login time = 4/12/2020 11:45:28 AM, userName = test
Login time = 4/12/2020 11:48:09 AM, userName = test
Login time = 4/12/2020 11:49:55 AM, userName = test
Login time = 4/12/2020 11:56:57 AM, userName = test
Logout time = 4/12/2020 11:57:08 AM, userName = test
Login time = 4/12/2020 2:04:11 PM, userName = test
Login time = 4/12/2020 2:05:43 PM, userName = test
Logout time = 4/12/2020 2:07:01 PM, userName = test
Login time = 4/12/2020 2:15:56 PM, userName = test
Login time = 4/12/2020 2:17:41 PM, userName = test
Logout time = 4/12/2020 2:19:14 PM, userName = test
Login time = 6/30/2020 9:10:12 AM, userName = test
Logout time = 6/30/2020 10:13:05 AM, userName = test
Login time = 7/2/2020 2:41:03 PM, userName = test
Login time = 7/2/2020 2:42:18 PM, userName = test
Login time = 7/21/2020 7:23:27 AM, userName = test
Logout time = 7/21/2020 7:24:01 AM, userName = test
Login time = 7/21/2020 7:25:48 AM, userName = test
Logout time = 7/21/2020 7:27:04 AM, userName = test
Login time = 7/21/2020 7:58:31 AM, userName = test
Logout time = 7/21/2020 7:58:40 AM, userName = test
Login time = 7/21/2020 7:59:33 AM, userName = test
Logout time = 7/21/2020 8:00:02 AM, userName = test
Login time = 7/21/2020 8:00:12 AM, userName = Spencer
Logout time = 7/21/2020 8:00:15 AM, userName = Spencer
Login time = 7/21/2020 8:31:39 AM, userName = Spencer
Logout time = 7/21/2020 8:31:48 AM, userName = Spencer
Login time = 7/21/2020 8:32:21 AM, userName = Spencer
Login time = 7/21/2020 8:39:44 AM, userName = test
Login time = 7/21/2020 2:04:18 PM, userName = Spencer
Login time = 7/21/2020 2:11:57 PM, userName = test
Login time = 7/21/2020 2:14:41 PM, userName = test
Login time = 7/21/2020 2:16:58 PM, userName = test
Login time = 7/21/2020 2:18:30 PM, userName = test
Login time = 7/21/2020 2:24:43 PM, userName = test
Login time = 7/21/2020 2:26:53 PM, userName = test
Login time = 7/21/2020 2:53:32 PM, userName = test
Login time = 7/21/2020 3:12:27 PM, userName = test
Login time = 7/21/2020 3:13:59 PM, userName = test
Login time = 7/21/2020 3:14:40 PM, userName = test
Login time = 7/21/2020 3:26:39 PM, userName = test
Login time = 7/21/2020 3:34:59 PM, userName = Spencer
Logout time = 7/21/2020 3:36:25 PM, userName = Spencer
Login time = 7/21/2020 4:21:26 PM, userName = Spencer
Login time = 7/21/2020 4:23:41 PM, userName = Spencer
Login time = 7/21/2020 4:30:42 PM, userName = Tristen
Login time = 7/21/2020 4:35:20 PM, userName = Spencer
Login time = 7/21/2020 4:37:02 PM, userName = Spencer
Login time = 7/21/2020 4:59:05 PM, userName = Spencer
Logout time = 7/21/2020 4:59:10 PM, userName = Spencer
Login time = 7/21/2020 5:01:14 PM, userName = Spencer
Login time = 7/21/2020 5:02:10 PM, userName = Spencer
Login time = 7/21/2020 5:05:29 PM, userName = Spencer
Login time = 7/21/2020 5:13:04 PM, userName = Spencer
Login time = 7/21/2020 5:19:19 PM, userName = Test Account
Login time = 7/21/2020 5:42:38 PM, userName = Test Account
Login time = 7/21/2020 6:14:39 PM, userName = Test Account
Login time = 7/21/2020 6:17:09 PM, userName = Test Account
Login time = 7/21/2020 6:17:45 PM, userName = Test Account
Login time = 7/21/2020 6:18:46 PM, userName = Spencer
Login time = 7/21/2020 8:52:40 PM, userName = Test Account
Login time = 7/21/2020 9:02:07 PM, userName = Test Account
Login time = 7/21/2020 9:02:40 PM, userName = Spencer
Login time = 7/21/2020 9:04:51 PM, userName = Test Account
Logout time = 7/21/2020 9:05:16 PM, userName = Test Account
Login time = 7/21/2020 9:05:28 PM, userName = Spencer
Login time = 7/21/2020 9:06:24 PM, userName = Spencer
Login time = 7/21/2020 9:07:44 PM, userName = Spencer
Login time = 7/21/2020 9:11:14 PM, userName = Test Account
Login time = 7/21/2020 9:12:27 PM, userName = Test Account
Login time = 7/21/2020 9:15:21 PM, userName = Test Account
Login time = 7/22/2020 11:48:14 AM, userName = Test Account
Login time = 7/22/2020 12:45:16 PM, userName = Test Account
Login time = 7/22/2020 1:21:12 PM, userName = Test Account
Login time = 7/22/2020 1:24:40 PM, userName = Test Account
Login time = 7/22/2020 1:26:16 PM, userName = Test Account
Login time = 7/22/2020 1:29:20 PM, userName = Test Account
Login time = 7/22/2020 1:31:15 PM, userName = Test Account
Login time = 7/22/2020 1:34:58 PM, userName = Test Account
Logout time = 7/22/2020 1:35:16 PM, userName = Test Account
Login time = 7/22/2020 2:19:09 PM, userName = Test Account
Login time = 7/22/2020 2:26:37 PM, userName = Test Account
Login time = 7/22/2020 2:39:52 PM, userName = Test Account
Login time = 7/22/2020 6:44:32 PM, userName = Test Account
Logout time = 7/22/2020 6:44:49 PM, userName = Test Account
